2024-11-19 22:39:56 | Logger | Created log directory: C:\Users\filip\Desktop\Project-5-Device-Group-Repo-main\ProjectV\ProjectV\bin\Debug\logs
2024-11-26 14:08:50 | TrackerHub | TrackerHub initialized
2024-11-26 14:08:50 | Tracker | Hub activated
2024-11-26 14:08:50 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:08:50 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:08:50 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:08:50 | Tracker | Listing all devices
2024-11-26 14:09:03 | TrackerHub | TrackerHub initialized
2024-11-26 14:09:03 | Tracker | Hub activated
2024-11-26 14:09:03 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:09:03 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:09:03 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:09:03 | Tracker | Listing all devices
2024-11-26 14:12:56 | TrackerHub | TrackerHub initialized
2024-11-26 14:12:56 | Tracker | Hub activated
2024-11-26 14:12:56 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:12:56 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:12:56 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:12:56 | Tracker | Listing all devices
2024-11-26 14:13:12 | TrackerHub | TrackerHub initialized
2024-11-26 14:13:12 | Tracker | Hub activated
2024-11-26 14:13:12 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:13:12 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:13:12 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:13:12 | Tracker | Listing all devices
2024-11-26 14:13:26 | TrackerHub | TrackerHub initialized
2024-11-26 14:13:26 | Tracker | Hub activated
2024-11-26 14:13:26 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:13:26 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:13:26 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:13:26 | Tracker | Listing all devices
2024-11-26 14:13:26 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:13:44 | TrackerHub | TrackerHub initialized
2024-11-26 14:13:44 | Tracker | Hub activated
2024-11-26 14:13:44 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:13:44 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:13:44 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:13:44 | Tracker | Listing all devices
2024-11-26 14:13:44 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:13:54 | TrackerHub | TrackerHub initialized
2024-11-26 14:13:54 | Tracker | Hub activated
2024-11-26 14:13:54 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:13:54 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:13:54 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:13:54 | Tracker | Listing all devices
2024-11-26 14:13:54 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:14:03 | TrackerHub | TrackerHub initialized
2024-11-26 14:14:03 | Tracker | Hub activated
2024-11-26 14:14:03 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:14:03 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:14:03 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:14:03 | Tracker | Listing all devices
2024-11-26 14:14:03 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:14:03 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:14:47 | TrackerHub | TrackerHub initialized
2024-11-26 14:14:47 | Tracker | Hub activated
2024-11-26 14:14:47 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:14:47 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:14:47 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:14:47 | Tracker | Listing all devices
2024-11-26 14:14:47 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:14:47 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:24:36 | TrackerHub | TrackerHub initialized
2024-11-26 14:24:36 | Tracker | Hub activated
2024-11-26 14:24:36 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:24:36 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:24:36 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:24:36 | Tracker | Listing all devices
2024-11-26 14:24:36 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:24:36 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:35:34 | AlarmHub | AlarmHub initialized
2024-11-26 14:35:34 | TrackerHub | TrackerHub initialized
2024-11-26 14:35:34 | Alarm | Hub activated
2024-11-26 14:35:34 | Tracker | Hub activated
2024-11-26 14:35:34 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:35:34 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:35:34 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:35:34 | Tracker | Listing all devices
2024-11-26 14:35:34 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:35:34 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:47:01 | AlarmHub | AlarmHub initialized
2024-11-26 14:47:01 | TrackerHub | TrackerHub initialized
2024-11-26 14:47:01 | Alarm | Hub activated
2024-11-26 14:47:01 | Tracker | Hub activated
2024-11-26 14:47:01 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:47:01 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:47:01 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:47:01 | Tracker | Listing all devices
2024-11-26 14:47:01 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:47:01 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:48:33 | AlarmHub | AlarmHub initialized
2024-11-26 14:48:33 | TrackerHub | TrackerHub initialized
2024-11-26 14:48:33 | Alarm | Hub activated
2024-11-26 14:48:33 | Tracker | Hub activated
2024-11-26 14:48:33 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:48:33 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:48:33 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:48:33 | Tracker | Listing all devices
2024-11-26 14:48:33 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:48:33 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:56:32 | AlarmHub | AlarmHub initialized
2024-11-26 14:56:32 | TrackerHub | TrackerHub initialized
2024-11-26 14:56:32 | Alarm | Hub activated
2024-11-26 14:56:32 | Tracker | Hub activated
2024-11-26 14:56:32 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:56:32 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:56:32 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:56:32 | Tracker | Listing all devices
2024-11-26 14:56:32 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:56:32 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:57:41 | AlarmHub | AlarmHub initialized
2024-11-26 14:57:41 | TrackerHub | TrackerHub initialized
2024-11-26 14:57:41 | Alarm | Hub activated
2024-11-26 14:57:41 | Main Siren | New security device created: ID 12
2024-11-26 14:57:41 | Main Siren | Alarm device created
2024-11-26 14:57:41 | Alarm | Device added: Main Siren
2024-11-26 14:57:41 | Tracker | Hub activated
2024-11-26 14:57:41 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:57:41 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:57:41 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:57:41 | Tracker | Listing all devices
2024-11-26 14:57:41 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:57:41 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:57:41 | Main Siren | Alarm activated
2024-11-26 14:58:05 | AlarmHub | AlarmHub initialized
2024-11-26 14:58:05 | TrackerHub | TrackerHub initialized
2024-11-26 14:58:05 | Alarm | Hub activated
2024-11-26 14:58:05 | Main Siren | New security device created: ID 12
2024-11-26 14:58:05 | Main Siren | Alarm device created
2024-11-26 14:58:05 | Alarm | Device added: Main Siren
2024-11-26 14:58:05 | Tracker | Hub activated
2024-11-26 14:58:05 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:58:05 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:58:05 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:58:05 | Tracker | Listing all devices
2024-11-26 14:58:06 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:58:06 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:58:06 | Main Siren | Alarm activated
2024-11-26 14:58:12 | AlarmHub | AlarmHub initialized
2024-11-26 14:58:12 | TrackerHub | TrackerHub initialized
2024-11-26 14:58:12 | Alarm | Hub activated
2024-11-26 14:58:12 | Main Siren | New security device created: ID 12
2024-11-26 14:58:12 | Main Siren | Alarm device created
2024-11-26 14:58:12 | Alarm | Device added: Main Siren
2024-11-26 14:58:12 | Tracker | Hub activated
2024-11-26 14:58:12 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:58:12 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:58:12 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:58:12 | Tracker | Listing all devices
2024-11-26 14:58:12 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:58:12 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:58:12 | Main Siren | Alarm activated
2024-11-26 14:58:32 | AlarmHub | AlarmHub initialized
2024-11-26 14:58:32 | TrackerHub | TrackerHub initialized
2024-11-26 14:58:32 | Alarm | Hub activated
2024-11-26 14:58:32 | Main Siren | New security device created: ID 12
2024-11-26 14:58:32 | Main Siren | Alarm device created
2024-11-26 14:58:32 | Alarm | Device added: Main Siren
2024-11-26 14:58:32 | Tracker | Hub activated
2024-11-26 14:58:32 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 14:58:32 | Vehicle GPS Tracker | Tracker device created
2024-11-26 14:58:32 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 14:58:32 | Tracker | Listing all devices
2024-11-26 14:58:32 | Vehicle GPS Tracker | Tracker activated
2024-11-26 14:58:32 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 14:58:32 | Main Siren | Alarm activated
2024-11-26 15:00:10 | AlarmHub | AlarmHub initialized
2024-11-26 15:00:10 | TrackerHub | TrackerHub initialized
2024-11-26 15:00:10 | Alarm | Hub activated
2024-11-26 15:00:10 | Main Siren | New security device created: ID 12
2024-11-26 15:00:10 | Main Siren | Alarm device created
2024-11-26 15:00:10 | Alarm | Device added: Main Siren
2024-11-26 15:00:10 | Tracker | Hub activated
2024-11-26 15:00:10 | Vehicle GPS Tracker | New security device created: ID 15
2024-11-26 15:00:10 | Vehicle GPS Tracker | Tracker device created
2024-11-26 15:00:10 | Tracker | Device added: Vehicle GPS Tracker
2024-11-26 15:00:10 | Tracker | Listing all devices
2024-11-26 15:00:10 | Vehicle GPS Tracker | Tracker activated
2024-11-26 15:00:10 | Vehicle GPS Tracker | Tracker deactivated
2024-11-26 15:00:10 | Main Siren | Alarm activated
2024-11-26 15:00:10 | Main Siren | Alarm deactivated
